CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",595,378,213,591,4,320,230,86,316,4,275,148,127,275,0,112,65,47,112,0,83,79,4
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",177,28,148,176,1,151,16,134,150,1,26,12,14,26,0,9,3,6,9,0,2,2,0
NY-503,Albany City & County CoC,538,363,103,466,72,384,245,76,321,63,154,118,27,145,9,56,41,12,53,3,66,30,36
NY-504,Cattaragus County CoC,69,13,41,54,15,48,6,27,33,15,21,7,14,21,0,8,3,5,8,0,0,0,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",731,362,346,708,23,600,306,277,583,17,131,56,69,125,6,51,18,28,46,5,107,98,9
NY-507,Schenectady City & County CoC,195,111,18,129,66,152,89,4,93,59,43,22,14,36,7,15,7,5,12,3,30,11,19
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",1250,467,564,1031,219,837,324,306,630,207,413,143,258,401,12,127,39,84,123,4,260,123,137
NY-510,Ithaca/Tompkins County CoC,78,38,24,62,16,46,30,0,30,16,32,8,24,32,0,10,2,8,10,0,8,6,2
NY-512,Troy/Rensselaer County CoC,193,107,27,134,59,88,23,11,34,54,105,84,16,100,5,39,30,7,37,2,29,10,19
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",88,88,0,88,0,47,47,0,47,0,41,41,0,41,0,16,16,0,16,0,5,5,0
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",65,19,44,63,2,9,5,2,7,2,56,14,42,56,0,26,6,20,26,0,0,0,0
NY-516,Clinton County CoC,53,42,6,48,5,50,42,3,45,5,3,0,3,3,0,1,0,1,1,0,3,3,0
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",316,179,121,300,16,186,129,41,170,16,130,50,80,130,0,40,20,20,40,0,21,10,11
NY-519,"Columbia, Greene Counties CoC",172,141,31,172,0,96,77,19,96,0,76,64,12,76,0,26,22,4,26,0,5,5,0
NY-520,"Franklin, Essex Counties CoC",10,6,0,6,4,10,6,0,6,4,0,0,0,0,0,0,0,0,0,0,5,4,1
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",297,145,147,292,5,249,97,147,244,5,48,48,0,48,0,14,14,0,14,0,23,21,2
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",166,83,34,117,49,110,48,25,73,37,56,35,9,44,12,20,14,3,17,3,33,10,23
NY-600,New York City CoC,50261,39019,7936,46955,3306,19994,11890,4798,16688,3306,30267,27129,3138,30267,0,9453,8494,959,9453,0,3885,1405,2480
NY-601,Poughkeepsie/Dutchess County CoC,547,219,244,463,84,288,114,119,233,55,259,105,125,230,29,93,34,49,83,10,163,88,75
NY-602,"Newburgh, Middletown/Orange County CoC",311,177,40,217,94,208,122,0,122,86,103,55,40,95,8,35,17,15,32,3,78,55,23
NY-603,"Nassau, Suffolk Counties CoC",2509,1851,500,2351,158,789,377,254,631,158,1720,1474,246,1720,0,534,467,67,534,0,52,37,15
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1829,514,1179,1693,136,690,396,158,554,136,1139,118,1021,1139,0,365,38,327,365,0,140,43,97
NY-606,Rockland County CoC,141,38,46,84,57,91,1,33,34,57,50,37,13,50,0,21,15,6,21,0,30,13,17
NY-607,Sullivan County CoC,139,109,0,109,30,53,32,0,32,21,86,77,0,77,9,25,23,0,23,2,12,6,6
NY-608,Kingston/Ulster County CoC,395,122,85,207,188,275,50,82,132,143,120,72,3,75,45,36,22,1,23,13,49,7,42
OH-500,Cincinnati/Hamilton County CoC,1116,632,429,1061,55,726,448,223,671,55,390,184,206,390,0,118,55,63,118,0,269,246,23
OH-501,Toledo/Lucas County CoC,959,354,351,705,254,653,292,185,477,176,306,62,166,228,78,106,22,51,73,33,256,212,44
OH-502,Cleveland/Cuyahoga County CoC,2242,1249,842,2091,151,1790,1030,619,1649,141,452,219,223,442,10,149,72,74,146,3,698,620,78
OH-503,Columbus/Franklin County CoC,1341,1089,135,1224,117,851,629,105,734,117,490,460,30,490,0,148,134,14,148,0,238,133,105
OH-504,Youngstown/Mahoning County CoC,236,93,132,225,11,121,75,35,110,11,115,18,97,115,0,41,7,34,41,0,22,18,4
OH-505,"Dayton, Kettering/Montgomery County CoC",844,611,203,814,30,484,354,100,454,30,360,257,103,360,0,119,79,40,119,0,74,65,9
OH-506,"Akron, Barberton/Summit County CoC",740,325,311,636,104,490,236,157,393,97,250,89,154,243,7,82,28,52,80,2,212,142,70
OH-507,Ohio Balance of State CoC,4525,1551,1674,3225,1300,2242,917,546,1463,779,2283,634,1128,1762,521,758,197,385,582,176,364,201,163
OH-508,"Canton, Massillon, Alliance/Stark County CoC",909,209,187,396,513,508,119,46,165,343,401,90,141,231,170,128,32,43,75,53,119,36,83
OK-500,North Central Oklahoma CoC,241,197,18,215,26,136,95,18,113,23,105,102,0,102,3,34,33,0,33,1,6,2,4
OK-501,Tulsa City & County CoC,729,504,190,694,35,576,406,140,546,30,153,98,50,148,5,50,33,15,48,2,79,70,9
OK-502,Oklahoma City CoC,1335,616,397,1013,322,1053,512,250,762,291,282,104,147,251,31,96,28,56,84,12,304,141,163
OK-503,Oklahoma Balance of State CoC,157,98,53,151,6,98,72,20,92,6,59,26,33,59,0,21,11,10,21,0,7,7,0
OK-504,Norman/Cleveland County CoC,578,63,115,178,400,304,41,51,92,212,274,22,64,86,188,85,9,26,35,50,60,16,44
OK-505,Northeast Oklahoma CoC,370,160,42,202,168,257,87,42,129,128,113,73,0,73,40,36,23,0,23,13,77,74,3
OK-506,Southwest Oklahoma Regional CoC,168,106,46,152,16,110,97,0,97,13,58,9,46,55,3,20,3,16,19,1,13,7,6
OK-507,Southeastern Oklahoma Regional CoC,268,189,9,198,70,140,69,5,74,66,128,120,4,124,4,35,31,2,33,2,15,14,1
OR-500,"Eugene, Springfield/Lane County CoC",2137,693,672,1365,772,1175,495,201,696,479,962,198,471,669,293,290,64,160,224,66,640,456,184
OR-501,"Portland, Gresham/Multnomah County CoC",3918,674,1610,2284,1634,3005,576,866,1442,1563,913,98,744,842,71,317,35,252,287,30,596,210,386
OR-502,"Medford, Ashland/Jackson County CoC",654,628,0,628,26,366,340,0,340,26,288,288,0,288,0,119,119,0,119,0,134,108,26
OR-503,Central Oregon CoC,1736,148,122,270,1466,583,93,19,112,471,1153,55,103,158,995,358,18,31,49,309,306,54,252
OR-504,"Salem/Marion, Polk Counties CoC",1997,293,288,581,1416,1165,225,121,346,819,832,68,167,235,597,292,18,57,75,217,181,38,143
OR-505,Oregon Balance of State CoC,7863,2035,2254,4289,3574,3840,1393,865,2258,1582,4023,642,1389,2031,1992,1275,209,449,658,617,1064,629,435
OR-506,"Hillsboro, Beaverton/Washington County CoC",772,95,268,363,409,256,12,13,25,231,516,83,255,338,178,169,22,95,117,52,233,3,230
OR-507,Clackamas County CoC,1576,101,65,166,1410,1158,26,15,41,1117,418,75,50,125,293,124,24,20,44,80,192,4,188
PA-500,Philadelphia CoC,6871,3279,3135,6414,457,3479,1895,1127,3022,457,3392,1384,2008,3392,0,1087,437,650,1087,0,600,189,411
PA-501,Harrisburg/Dauphin County CoC,421,206,149,355,66,228,119,52,171,57,193,87,97,184,9,72,32,37,69,3,96,48,48
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",653,287,323,610,43,248,160,45,205,43,405,127,278,405,0,128,45,83,128,0,92,63,29
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",171,79,82,161,10,107,68,29,97,10,64,11,53,64,0,21,4,17,21,0,14,13,1
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",479,216,239,455,24,176,128,24,152,24,303,88,215,303,0,92,27,65,92,0,74,62,12
PA-505,Chester County CoC,314,137,149,286,28,130,100,30,130,0,184,37,119,156,28,65,14,36,50,15,56,56,0
PA-506,Reading/Berks County CoC,496,208,221,429,67,287,152,68,220,67,209,56,153,209,0,75,23,52,75,0,32,14,18
PA-508,Scranton/Lackawanna County CoC,260,81,141,222,38,109,43,44,87,22,151,38,97,135,16,51,11,34,45,6,40,25,15
PA-509,Eastern Pennsylvania CoC,1759,725,921,1646,113,773,407,273,680,93,986,318,648,966,20,332,106,220,326,6,152,103,49
PA-510,Lancaster City & County CoC,707,172,496,668,39,386,105,242,347,39,321,67,254,321,0,129,25,104,129,0,47,31,16
PA-511,"Bristol, Bensalem/Bucks County CoC",485,103,378,481,4,150,30,116,146,4,335,73,262,335,0,104,21,83,104,0,0,0,0
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1308,282,806,1088,220,837,204,413,617,220,471,78,393,471,0,164,29,135,164,0,222,110,112
PA-601,Western Pennsylvania CoC,862,341,454,795,67,434,201,178,379,55,428,140,276,416,12,141,46,90,136,5,76,60,16
PA-603,Beaver County CoC,213,12,119,131,82,189,9,101,110,79,24,3,18,21,3,8,1,6,7,1,60,28,32
PA-605,Erie City & County CoC,379,208,130,338,41,201,136,42,178,23,178,72,88,160,18,57,18,32,50,7,61,57,4
PR-502,Puerto Rico Balance of Commonwealth CoC,707,0,8,8,699,663,0,8,8,655,44,0,0,0,44,22,0,0,0,22,1488,567,921
PR-503,South-Southeast Puerto Rico CoC,2305,298,504,802,1503,2005,223,432,655,1350,300,75,72,147,153,69,22,23,45,24,1429,459,970
RI-500,Rhode Island Statewide CoC,1196,734,408,1142,54,714,437,223,660,54,482,297,185,482,0,181,84,97,181,0,245,208,37
SC-500,Charleston/Low Country CoC,539,290,192,482,57,432,239,142,381,51,107,51,50,101,6,40,19,18,37,3,46,39,7
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1606,673,427,1100,506,1127,541,168,709,418,479,132,259,391,88,154,49,83,132,22,232,215,17
SC-502,Columbia/Midlands CoC,1569,531,415,946,623,1278,403,317,720,558,291,128,98,226,65,97,44,34,78,19,185,105,80
SC-503,"Myrtle Beach, Sumter City & County CoC",1946,186,372,558,1388,972,79,142,221,751,974,107,230,337,637,164,26,53,79,85,280,39,241
SD-500,South Dakota Statewide CoC,579,269,269,538,41,268,138,97,235,33,311,131,172,303,8,108,46,58,104,4,104,79,25
TN-500,Chattanooga/Southeast Tennessee CoC,87,39,33,72,15,0,0,0,0,0,87,39,33,72,15,37,14,11,25,12,679,44,635
TN-501,Memphis/Shelby County CoC,1566,353,1129,1482,84,1007,253,672,925,82,559,100,457,557,2,215,36,178,214,1,66,39,27
TN-502,Knoxville/Knox County CoC,930,424,392,816,114,812,409,297,706,106,118,15,95,110,8,47,9,35,44,3,277,214,63
TN-503,Central Tennessee CoC,328,110,129,239,89,242,69,115,184,58,86,41,14,55,31,27,10,5,15,12,36,25,11
TN-504,Nashville-Davidson County CoC,2217,1187,564,1751,466,1816,930,420,1350,466,401,257,144,401,0,134,86,48,134,0,1364,898,466
TN-506,Upper Cumberland CoC,704,176,20,196,508,333,102,14,116,217,371,74,6,80,291,133,27,2,29,104,217,79,138
TN-507,Jackson/West Tennessee CoC,2187,136,115,251,1936,1996,105,80,185,1811,191,31,35,66,125,75,10,13,23,52,293,50,243
TN-509,Appalachian Regional CoC,559,306,39,345,214,478,249,23,272,206,81,57,16,73,8,26,18,5,23,3,88,46,42
TN-510,Murfreesboro/Rutherford County CoC,223,75,0,75,148,176,45,0,45,131,47,30,0,30,17,16,14,0,14,2,89,15,74
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",904,169,264,433,471,382,32,14,46,336,522,137,250,387,135,173,45,72,117,56,255,28,227
TX-500,San Antonio/Bexar County CoC,4063,1116,1402,2518,1545,2797,825,538,1363,1434,1266,291,864,1155,111,419,85,285,370,49,520,195,325
TX-503,Austin/Travis County CoC,3451,846,459,1305,2146,2881,609,156,765,2116,570,237,303,540,30,160,71,80,151,9,919,242,677
TX-600,"Dallas City & County, Irving CoC",3558,2226,1119,3345,213,2286,1674,399,2073,213,1272,552,720,1272,0,433,202,231,433,0,620,522,98
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2676,1226,1247,2473,203,1442,923,316,1239,203,1234,303,931,1234,0,394,98,296,394,0,519,426,93
TX-603,El Paso City & County CoC,1241,629,339,968,273,804,438,93,531,273,437,191,246,437,0,133,56,77,133,0,208,72,136
TX-604,Waco/McLennan County CoC,431,108,151,259,172,321,90,86,176,145,110,18,65,83,27,38,7,25,32,6,70,32,38
TX-607,Texas Balance of State CoC,13298,5691,1568,7259,6039,8628,3574,926,4500,4128,4670,2117,642,2759,1911,1204,474,197,671,533,2070,1032,1038
TX-611,Amarillo CoC,540,395,91,486,54,351,291,6,297,54,189,104,85,189,0,61,36,25,61,0,45,33,12
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",280,231,0,231,49,233,184,0,184,49,47,47,0,47,0,14,14,0,14,0,206,157,49
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",10363,2288,2729,5017,5346,8054,1653,1207,2860,5194,2309,635,1522,2157,152,668,183,440,623,45,3627,906,2721
TX-701,"Bryan, College Station/Brazos Valley CoC",289,120,99,219,70,153,86,21,107,46,136,34,78,112,24,34,11,17,28,6,40,39,1
UT-500,Salt Lake City & County CoC,2296,1279,859,2138,158,1428,867,403,1270,158,868,412,456,868,0,270,125,145,270,0,475,317,158
UT-503,Utah Balance of State CoC,878,348,479,827,51,476,235,190,425,51,402,113,289,402,0,139,46,93,139,0,174,123,51
UT-504,Provo/Mountainland CoC,260,103,110,213,47,114,37,30,67,47,146,66,80,146,0,47,22,25,47,0,53,6,47
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1073,349,558,907,166,831,257,408,665,166,242,92,150,242,0,89,32,57,89,0,72,39,33
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",602,407,102,509,93,378,284,27,311,67,224,123,75,198,26,78,38,23,61,17,87,61,26
VA-502,"Roanoke City & County, Salem CoC",504,368,129,497,7,379,275,97,372,7,125,93,32,125,0,42,31,11,42,0,181,178,3
VA-503,Virginia Beach CoC,484,249,157,406,78,233,127,30,157,76,251,122,127,249,2,80,38,41,79,1,88,42,46
VA-504,Charlottesville CoC,239,156,68,224,15,183,134,34,168,15,56,22,34,56,0,17,7,10,17,0,82,77,5
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",526,382,104,486,40,394,330,26,356,38,132,52,78,130,2,43,19,23,42,1,147,117,30
VA-507,Portsmouth CoC,222,121,56,177,45,167,94,28,122,45,55,27,28,55,0,21,9,12,21,0,49,17,32
VA-508,Lynchburg CoC,256,147,64,211,45,133,56,33,89,44,123,91,31,122,1,45,35,9,44,1,53,30,23
VA-513,"Harrisburg, Winchester/Western Virginia CoC",245,132,56,188,57,108,77,5,82,26,137,55,51,106,31,46,16,16,32,14,41,36,5
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",194,101,26,127,67,123,62,1,63,60,71,39,25,64,7,25,13,9,22,3,54,18,36
VA-521,Virginia Balance of State CoC,863,346,213,559,304,443,159,100,259,184,420,187,113,300,120,150,65,41,106,44,115,55,60
VA-600,Arlington County CoC,410,122,109,231,179,284,87,18,105,179,126,35,91,126,0,41,12,29,41,0,156,27,129
VA-601,Fairfax County CoC,1835,658,965,1623,212,744,395,137,532,212,1091,263,828,1091,0,311,74,237,311,0,402,226,176
VA-602,Loudoun County CoC,160,72,64,136,24,43,18,1,19,24,117,54,63,117,0,33,17,16,33,0,21,8,13
VA-603,Alexandria CoC,306,122,116,238,68,194,67,59,126,68,112,55,57,112,0,39,18,21,39,0,58,12,46
VA-604,Prince William County CoC,550,182,194,376,174,201,99,16,115,86,349,83,178,261,88,106,25,56,81,25,72,24,48
VI-500,Virgin Islands CoC,602,60,55,115,487,566,28,51,79,487,36,32,4,36,0,18,17,1,18,0,513,26,487
VT-500,Vermont Balance of State CoC,633,186,253,439,194,405,98,142,240,165,228,88,111,199,29,79,32,37,69,10,168,88,80
VT-501,Burlington/Chittenden County CoC,321,125,132,257,64,222,83,78,161,61,99,42,54,96,3,41,12,28,40,1,66,27,39
WA-500,Seattle/King County CoC,8501,2515,3293,5808,2693,5517,1893,993,2886,2631,2984,622,2300,2922,62,931,187,728,915,16,987,730,257
WA-501,Washington Balance of State CoC,7117,1776,3229,5005,2112,3170,875,1024,1899,1271,3947,901,2205,3106,841,1273,304,711,1015,258,1085,557,528
WA-502,Spokane City & County CoC,1370,830,250,1080,290,999,619,117,736,263,371,211,133,344,27,129,70,49,119,10,206,162,44
WA-503,"Tacoma, Lakewood/Pierce County CoC",1743,466,1012,1478,265,753,343,183,526,227,990,123,829,952,38,285,34,246,280,5,372,211,161
WA-504,Everett/Snohomish County CoC,2161,421,784,1205,956,1212,294,69,363,849,949,127,715,842,107,336,40,260,300,36,301,234,67
WA-508,Vancouver/Clark County CoC,1062,311,569,880,182,505,149,272,421,84,557,162,297,459,98,169,46,95,141,28,122,80,42
WI-500,Wisconsin Balance of State CoC,3105,1207,1610,2817,288,1044,468,398,866,178,2061,739,1212,1951,110,715,248,428,676,39,299,178,121
WI-501,Milwaukee City & County CoC,1470,729,566,1295,175,769,441,242,683,86,701,288,324,612,89,239,104,106,210,29,234,190,44
WI-502,Racine City & County CoC,259,149,109,258,1,159,117,41,158,1,100,32,68,100,0,40,17,23,40,0,25,24,1
WI-503,Madison/Dane County CoC,615,321,243,564,51,313,168,100,268,45,302,153,143,296,6,96,46,47,93,3,129,88,41
WV-500,"Wheeling, Weirton Area CoC",92,72,13,85,7,71,63,1,64,7,21,9,12,21,0,8,2,6,8,0,18,12,6
WV-501,"Huntington/Cabell, Wayne Counties CoC",264,139,93,232,32,204,100,72,172,32,60,39,21,60,0,22,14,8,22,0,103,95,8
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",363,211,53,264,99,275,163,38,201,74,88,48,15,63,25,29,16,5,21,8,117,68,49
WV-508,West Virginia Balance of State CoC,1297,530,311,841,456,885,369,187,556,329,412,161,124,285,127,140,65,46,111,29,149,89,60
WY-500,Wyoming Statewide CoC,751,395,224,619,132,357,235,85,320,37,394,160,139,299,95,143,62,54,116,27,67,30,37
